jugador,placajes intentados,placajes conseguidos,golpes de castigo,touch totales,touch ganadas,melee totales,melee ganadas,chutes a palos,chutes a palos dentro,tarjeta amarilla,tarjeta roja,ensayo,minutos jugados,lesionado
prueba@jugador.com,10,10,2,,,,,5,4,1,,1,80,
jugador1@jugador1.com,11,9,2,10,8,3,3,,,,1,,44,1
alguiien@alguiien,15,5,2,2,2,2,2,,,,1,1,80,
jugador1@gmail.com,15,5,2,2,2,4,4,,,,,,44,
jugador2@jugador.com,5,5,2,4,4,4,4,,,,,,35,
jugador3@gmail.com,7,5,2,7,7,8,0,,,,,,55,
jugador12@jugador.com,3,2,2,,,,,1,1,1,,2,80,1
jugador3@jugador.com,3,3,2,,,,,,,,,,50,
jugador4@gmail.com,5,5,2,,,,,2,0,2,1,,68,
jugador5@jugador.com,9,6,2,,,,,,,,,,5,1
jugador13@jugador.com,1,0,2,,,,,,,,,,50,1
